Easting Northing EcaH1 I1 EcaH05 i05 elevation
741715.34 3669638.763 82.83 -1.58 59.42 -0.88 67.932
741715.297 3669638.858 83.06 -1.58 59.15 -0.88 67.929
741715.252 3669638.948 82.87 -1.55 58.64 -0.86 67.93
741715.164 3669639.113 83.34 -1.54 58.25 -0.86 67.936
741715.096 3669639.24 82.4 -1.54 58.21 -0.85 67.941
741714.939 3669639.396 82.32 -1.53 57.9 -0.86 67.95
741714.753 3669639.434 82.56 -1.51 56.77 -0.86 67.959
741714.464 3669639.493 81.54 -1.49 55.71 -0.87 67.973
741714.274 3669639.5 80.13 -1.49 55.2 -0.87 67.972
741714.093 3669639.497 78.3 -1.53 55.09 -0.87 67.968
741713.878 3669639.495 77.79 -1.58 54.85 -0.88 67.963
741713.483 3669639.498 77.98 -1.6 55.52 -0.88 67.968
741712.905 3669639.506 78.92 -1.59 56.3 -0.87 67.992
741712.709 3669639.509 79.23 -1.55 55.95 -0.86 68.008
741712.512 3669639.512 79.08 -1.53 55.67 -0.86 68.025
741712.16 3669639.519 78.38 -1.54 55.16 -0.87 68.037
741711.666 3669639.528 77.67 -1.54 54.89 -0.88 68.035
741711.364 3669639.528 77.44 -1.54 54.15 -0.87 68.044
741711.107 3669639.523 76.85 -1.55 54.42 -0.87 68.06
741710.874 3669639.518 76.81 -1.58 53.72 -0.87 68.076
741710.482 3669639.511 76.73 -1.55 53.68 -0.88 68.097
741710.134 3669639.507 76.5 -1.53 54.23 -0.88 68.11
741709.857 3669639.505 77.59 -1.53 54.58 -0.88 68.12
741709.711 3669639.507 77.59 -1.56 55.09 -0.88 68.12
741709.529 3669639.51 77.95 -1.53 55.24 -0.88 68.121
741709.407 3669639.512 78.49 -1.49 55.36 -0.87 68.121
741709.155 3669639.516 79 -1.47 55.67 -0.87 68.133
741708.944 3669639.52 79.27 -1.42 55.44 -0.86 68.142
741708.798 3669639.52 79.35 -1.39 55.16 -0.86 68.145
741708.651 3669639.521 79.78 -1.38 54.85 -0.85 68.148
741708.456 3669639.521 78.65 -1.4 55.09 -0.86 68.152
741708.17 3669639.504 78.34 -1.44 55.44 -0.86 68.154
741707.854 3669639.485 79 -1.5 55.13 -0.87 68.156
741707.636 3669639.468 79 -1.55 55.91 -0.87 68.163
741707.461 3669639.455 80.09 -1.59 57.16 -0.88 68.169
741707.223 3669639.436 80.72 -1.61 57.27 -0.88 68.177
741707.007 3669639.422 82.59 -1.55 56.96 -0.87 68.188
741706.514 3669639.397 82.83 -1.49 56.73 -0.87 68.224
741706.069 3669639.387 81.85 -1.49 56.61 -0.87 68.243
741705.829 3669639.39 81.15 -1.53 56.77 -0.88 68.243
741705.545 3669639.395 81.31 -1.53 57.08 -0.88 68.242
741705.283 3669639.399 81.27 -1.49 56.96 -0.88 68.241
741704.718 3669639.422 81.58 -1.48 57.2 -0.88 68.25
741703.991 3669639.452 81.5 -1.46 56.77 -0.88 68.261
741703.644 3669639.464 81.27 -1.47 55.59 -0.87 68.266
741703.267 3669639.478 80.25 -1.44 54.62 -0.87 68.271
741702.952 3669639.489 79.39 -1.44 53.76 -0.88 68.275
741702.056 3669639.525 78.26 -1.47 53.6 -0.89 68.275
741701.394 3669639.551 77.79 -1.5 53.84 -0.88 68.273
741700.966 3669639.554 79.04 -1.5 53.33 -0.89 68.277
741700.504 3669639.557 78.34 -1.49 53.6 -0.9 68.28
741700.113 3669639.56 77.98 -1.51 54.03 -0.89 68.284
741699.437 3669639.552 78.53 -1.53 54.42 -0.9 68.298
741698.333 3669639.531 77.91 -1.55 54.23 -0.9 68.326
741697.922 3669639.519 78.18 -1.53 54.34 -0.9 68.325
741697.607 3669639.511 77.05 -1.5 53.29 -0.9 68.324
741697.289 3669639.502 75.52 -1.49 52.27 -0.91 68.323
741696.665 3669639.489 73.92 -1.49 51.41 -0.92 68.32
741695.905 3669639.49 72.98 -1.49 50.24 -0.9 68.318
741695.141 3669639.494 71.5 -1.51 48.84 -0.9 68.314
