Easting Northing Q1 I1 Q05 I05 elevation
741365.48 3669797.826 112.2 0.95 98.68 0.29 69.951
741365.512 3669797.896 110.33 0.98 98.8 0.29 69.946
741365.539 3669797.957 107.44 1.03 98.91 0.29 69.941
741365.598 3669798.027 105.91 1.12 99.77 0.29 69.936
741365.718 3669798.115 105.21 1.18 102.55 0.28 69.931
741365.844 3669798.174 106.93 1.23 105.44 0.28 69.93
741365.989 3669798.208 109.59 1.23 106.22 0.28 69.931
741366.135 3669798.242 112.13 1.21 104.62 0.28 69.932
741366.376 3669798.291 112.71 1.2 105.01 0.29 69.931
741366.682 3669798.336 111.23 1.17 105.48 0.29 69.925
741367.069 3669798.39 108.53 1.17 103.45 0.28 69.918
741367.37 3669798.408 105.37 1.2 103.76 0.28 69.915
741367.621 3669798.423 103.49 1.13 103.09 0.27 69.913
741367.923 3669798.442 101.81 1.1 99.62 0.27 69.91
741368.447 3669798.45 101.89 1.12 98.64 0.27 69.882
741368.942 3669798.455 102.87 1.18 95.52 0.27 69.854
741369.18 3669798.457 101.27 1.16 90.01 0.27 69.853
741369.439 3669798.459 97.87 1.16 85.55 0.29 69.853
741369.655 3669798.462 96.03 1.16 81.14 0.31 69.852
741370.005 3669798.464 95.21 1.07 76.53 0.28 69.848
741370.432 3669798.466 92.83 1 73.52 0.27 69.838
741370.808 3669798.46 90.45 0.93 69.85 0.26 69.829
741371.193 3669798.438 87.48 0.98 67.12 0.28 69.817
741371.308 3669798.431 83.96 0.98 64.11 0.3 69.814
741371.742 3669798.406 81.89 0.98 61.41 0.31 69.801
741372.142 3669798.381 80.21 0.96 60.44 0.29 69.788
741372.612 3669798.353 79.59 0.99 58.88 0.28 69.774
741372.964 3669798.34 78.1 1.01 56.96 0.27 69.771
741373.286 3669798.328 75.95 1.03 54.66 0.28 69.769
741373.761 3669798.312 75.09 1.04 53.68 0.28 69.766
741374.221 3669798.297 74.51 1.05 53.13 0.27 69.761
741374.752 3669798.282 73.38 1.03 51.53 0.28 69.755
741375.09 3669798.276 70.84 1.04 50.71 0.29 69.754
741375.458 3669798.269 69.66 1.05 49.62 0.27 69.752
741375.827 3669798.263 69.27 1.06 48.56 0.27 69.751
741376.419 3669798.255 68.26 1.03 47.59 0.27 69.752
741376.95 3669798.248 67.28 1.01 46.06 0.27 69.753
741377.321 3669798.249 65.95 1.01 45.09 0.28 69.751
741377.707 3669798.251 65.48 0.98 44.81 0.28 69.747
741378.011 3669798.253 65.45 0.99 44.11 0.29 69.744
741378.451 3669798.269 65.09 1 43.6 0.29 69.745
741379.042 3669798.3 63.65 0.98 43.41 0.3 69.749
741379.483 3669798.323 63.14 0.97 43.6 0.31 69.75
741379.848 3669798.341 62.98 0.98 42.94 0.3 69.749
741380.187 3669798.358 63.3 1.02 43.09 0.31 69.748
741380.621 3669798.371 62.75 1.05 42.86 0.31 69.744
741381.08 3669798.369 62.56 1.05 43.29 0.31 69.733
